,text,
0,"Ml 2.54 earthquake (reviewed) occured at 2019-10-28T16:48:02 UTC, 2km ESE of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
1,"Ml 2.54 earthquake (reviewed) occured at 2019-10-28T16:48:02 UTC, 2km SE of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
2,"Ml 2.83 earthquake (automatic) occured at 2019-10-28T16:48:03 UTC, 2km SE of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
3,"2.8 magnitude #earthquake. 5 km from Quinton, OK, #UnitedStates https://t.co/bM7b9MHgHK",1
4,"Ml 2.83 earthquake (automatic) occured at 2019-10-28T16:48:03 UTC, 4km E of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
5,"USGS reports a M2.61 #earthquake 5km E of Quinton, Oklahoma on 10/28/19 @ 16:48:02 UTC https://t.co/f5IWMPvwwh #quake",1
6,"Ml 2.61 earthquake (automatic) occured at 2019-10-28T16:48:02 UTC, 5km E of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
7,"Ml 2.74 earthquake (reviewed) occured at 2019-10-28T13:23:44 UTC, 3km NW of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
8,"Ml 2.86 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 3km NW of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
9,"Ml 2.86 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 4km ESE of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
10,"2.7 magnitude #earthquake. 5 km from #Quinton, OK, #UnitedStates https://t.co/xpBxsbAMn5",1
11,"Ml 2.67 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 4km ESE of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
12,USGS reports a M2.67 #earthquake Oklahoma on 10/28/19 @ 13:23:44 UTC https://t.co/38F2DLSQJ4 #quake,1
13,"1.9 magnitude #earthquake. 1 km from Quinton, #OK, United States https://t.co/24mqoTfZuH",1
14,"USGS reports a M1.93 #earthquake 0km NNE of Quinton, Oklahoma on 10/25/19 @ 17:44:49 UTC https://t.co/zsDiLATGZf #quake",1
15,"2.0 magnitude #earthquake. 2 km from Quinton, OK, #UnitedStates https://t.co/3Vj3YouHuC",1
16,"Ml 2.48 earthquake (reviewed) occured at 2019-10-23T13:41:39 UTC, 1km N of Quinton, Oklahoma https://t.co/pSVOVxNhA4",1
17,"Ml 2.87 earthquake (automatic) occured at 2019-10-23T13:41:39 UTC, 3km ESE of Quinton, Oklahoma https://t.co/pSVOVxNhA4",1
18,"USGS reports a M2.81 #earthquake 3km ESE of Quinton, Oklahoma on 10/23/19 @ 13:41:39 UTC https://t.co/1Uv20pygGv #quake",1
19,"2.8 magnitude #earthquake. 3 km from #Quinton, OK, United States https://t.co/yHpRbXCJmM",1
20,"Ml 2.81 earthquake (automatic) occured at 2019-10-23T13:41:39 UTC, Oklahoma https://t.co/pSVOVxNhA4",1
0,"Md 3.4 earthquake (reviewed) occured at 2019-10-28T16:29:46 UTC, 68km N of Isabela, Puerto Rico https://t.co/5Bijvlayd1",1
1,"USGS reports a M3.4 #earthquake 67km N of San Antonio, Puerto Rico on 10/28/19 @ 16:29:46 UTC https://t.co/eR6cE62xsH #quake",1
2,"MD 3.4 (27 min ago)
7km 19.09°N 67.22°W
Oct 28, 2019 16:29:46 UTC
#earthquake",1
3,"Md 3.4 earthquake (reviewed) occured at 2019-10-28T16:29:46 UTC, 67km N of San Antonio, Puerto Rico https://t.co/5Bijvlayd1",1
4,"MD 2.8 (93 min ago)
12km 19.13°N 67.30°W
Oct 28, 2019 05:19:43 UTC
#earthquake",1
5,"MD 2.8 (224 min ago)
79km 19.05°N 67.11°W
Oct 28, 2019 02:21:18 UTC
#earthquake",1
6,"MD 2.6 (302 min ago)
10km 19.08°N 67.43°W
Oct 27, 2019 16:09:08 UTC
#earthquake",1
7,"Md 3.17 earthquake (reviewed) occured at 2019-10-27T19:59:13 UTC, 65km NNW of San Antonio, Puerto Rico https://t.co/NJDiVGNCrZ",1
8,"MD 3.2 (20 min ago)
10km 19.08°N 67.27°W
Oct 27, 2019 19:59:13 UTC
#earthquake",1
9,"USGS reports a M3.17 #earthquake 68km NNW of San Antonio, Puerto Rico on 10/27/19 @ 19:59:13 UTC https://t.co/SQez8SVZ0s #quake",1
10,"Md 3.17 earthquake (reviewed) occured at 2019-10-27T19:59:13 UTC, 68km NNW of San Antonio, Puerto Rico https://t.co/NJDiVGNCrZ",1
11,"MD 2.5 (288 min ago)
24km 19.10°N 67.20°W
Oct 27, 2019 14:19:10 UTC
#earthquake",1
12,"MD 3.1 (315 min ago)
10km 19.04°N 67.28°W
Oct 27, 2019 13:51:41 UTC
#earthquake",1
13,"Mb 4.5 earthquake (reviewed) occured at 2019-10-27T13:48:41 UTC, 72km NNW of Isabela, Puerto Rico https://t.co/a1WsEAgkR1",1
14,"Mb 4.4 earthquake (reviewed) occured at 2019-10-27T13:29:47 UTC, 70km N of San Antonio, Puerto Rico https://t.co/ufStrYdaXE",1
15,"Mb 4.5 earthquake (reviewed) occured at 2019-10-27T13:48:42 UTC, 70km NNW of Isabela, Puerto Rico https://t.co/a1WsEAgkR1",1
16,"Ml 4.3 earthquake (REVIEWED) occured at 2019-10-27T13:48:44 UTC, 61km NNW of San Antonio, Puerto Rico https://t.co/Tw5LrYxqkp",1
17,"USGS reports a M4.3 #earthquake 61km NNW of San Antonio, Puerto Rico on 10/27/19 @ 13:48:44 UTC https://t.co/rDlvUyP8Ba #quake",1
18,"4.3 earthquake, 61km NNW of San Antonio, Puerto Rico. 2019-10-27 09:48:44 at epicenter (6m ago, depth 22km). https://t.co/MG7UejZYga",1
19,"USGS reports a M4.5 #earthquake 68km NNW of San Antonio, Puerto Rico on 10/27/19 @ 13:29:48 UTC https://t.co/Jtire27sAn #quake",1
20,"Mb 4.5 earthquake (reviewed) occured at 2019-10-27T13:29:48 UTC, 64km NNW of Isabela, Puerto Rico https://t.co/ufStrYdaXE",1
21,"4.4 earthquake, 64km NNW of Isabela, Puerto Rico. 2019-10-27 09:29:50 at epicenter (6m ago, depth 33km). https://t.co/Db2PUrWiR1",1
22,"4.4 earthquake, 64km NNW of Isabela, Puerto Rico. 2019-10-27 09:29:50 at epicenter (6m ago, depth 33km). https://t.co/0UdY7jIJkt",1
23,"Ml 4.4 earthquake (REVIEWED) occured at 2019-10-27T13:29:50 UTC, 64km NNW of Isabela, Puerto Rico https://t.co/S705X5RO5X",1
24,"MD 2.6 (150 min ago)
10km 19.10°N 67.24°W
Oct 26, 2019 20:57:23 UTC
#earthquake",1
25,"MD 2.9 (75 min ago)
28km 19.06°N 67.15°W
Oct 25, 2019 14:24:16 UTC
#earthquake",1
26,"MD 2.6 (230 min ago)
13km 19.08°N 67.25°W
Oct 24, 2019 08:11:09 UTC
#earthquake",1
27,"MD 2.7 (303 min ago)
39km 19.13°N 67.28°W
Oct 24, 2019 04:04:18 UTC
#earthquake",1
28,"MD 2.5 (348 min ago)
8km 19.05°N 67.20°W
Oct 24, 2019 03:18:40 UTC
#earthquake",1
29,"MD 3.0 (35 min ago)
7km 19.14°N 67.17°W
Oct 24, 2019 05:45:42 UTC
#earthquake",1
30,"Md 2.97 earthquake (reviewed) occured at 2019-10-24T05:45:42 UTC, 72km NNW of Isabela, Puerto Rico https://t.co/XVr5m46z58",1
31,"MD 2.8 (271 min ago)
13km 19.10°N 67.22°W
Oct 22, 2019 07:15:58 UTC
#earthquake",1
32,"MD 3.0 (127 min ago)
22km 19.09°N 67.23°W
Oct 22, 2019 01:18:31 UTC
#earthquake",1
33,"USGS reports a M2.89 #earthquake 76km NNW of San Antonio, Puerto Rico on 10/21/19 @ 23:27:51 UTC https://t.co/7bhQAaVRpV #quake",1
34,"MD 2.9 (17 min ago)
10km 19.14°N 67.35°W
Oct 21, 2019 23:27:51 UTC
#earthquake",1
35,"Md 2.89 earthquake (reviewed) occured at 2019-10-21T23:27:51 UTC, 76km NNW of San Antonio, Puerto Rico https://t.co/yHgvv96KCT",1
36,"MD 2.8 (210 min ago)
15km 19.13°N 67.28°W
Oct 21, 2019 06:21:18 UTC
#earthquake",1
37,"MD 2.5 (281 min ago)
43km 19.13°N 67.13°W
Oct 20, 2019 10:59:54 UTC
#earthquake",1
38,"MD 2.9 (319 min ago)
8km 19.05°N 67.17°W
Oct 20, 2019 04:30:15 UTC
#earthquake",1
0,"2.5 magnitude #earthquake. 5 km from Fern Acres, #HI, United States https://t.co/9PEG7ljtxS",1
1,"Ml 2.52 earthquake (automatic) occured at 2019-10-28T16:16:55 UTC, 5km WSW of Fern Acres, Hawaii https://t.co/TT07tu1NlU",1
2,"USGS reports a M2.63 #earthquake 5km WSW of Fern Acres, Hawaii on 10/28/19 @ 16:16:55 UTC https://t.co/ukyQ9flt89 #quake",1
3,"USGS reports: M2,6 Earthquake 5km WSW of Fern Acres, Hawaii,
Depth 11,5 Km @ 2019-10-28 05:16:55 HST.
More info:… https://t.co/7tewjLvkEl",1
4,"Hawaii, United States of America
MD 2.6 (4 min ago)
12km 19.49°N 155.12°W
Oct 28, 2019 16:16:55 UTC
#earthquake",1
5,"Md 2.63 earthquake (automatic) occured at 2019-10-28T16:16:55 UTC, 5km WSW of Fern Acres, Hawaii https://t.co/TT07tu1NlU",1
0,"3.6 magnitude #earthquake. 77 km from Y, #AK, United States https://t.co/5it3jZ9TTv",1
1,"Alaska, United States of America
ML 3.5 (21 min ago)
35km 62.65°N 148.74°W
Oct 28, 2019 15:43:55 UTC
#earthquake https://t.co/hTnuytVu9o",1
2,"USGS reports a M3.6 #earthquake 78km NE of Y, Alaska on 10/28/19 @ 15:43:55 UTC https://t.co/RiZVV5gsJx #quake",1
3,"Ml 3.6 earthquake (automatic) occured at 2019-10-28T15:43:55 UTC, 78km NE of Y, Alaska https://t.co/z9qWA9dedd",1
0,"ML 2.9 (22 min ago)
5km 57.95°N 137.63°W
Oct 28, 2019 15:07:38 UTC
#earthquake",1
1,"Ml 2.9 earthquake (reviewed) occured at 2019-10-28T15:07:38 UTC, 122km WSW of Gustavus, Alaska https://t.co/gYH4B14EzJ",1
2,USGS reports a M2.9 #earthquake off the coast of Southeastern Alaska on 10/28/19 @ 15:07:38 UTC https://t.co/F0rIcWqGZb #quake,1
0,"Ml 2.71 earthquake (reviewed) occured at 2019-10-28T14:58:35 UTC, 21km SSW of Puebla, B.C., MX https://t.co/HTeOOp2xuO",1
1,"USGS reports a M3.04 #earthquake 22km W of Delta, B.C., MX on 10/28/19 @ 14:58:34 UTC https://t.co/bgfxDxIAmE #quake",1
2,"Ml 3.04 earthquake (automatic) occured at 2019-10-28T14:58:34 UTC, 22km W of Delta, B.C., MX https://t.co/HTeOOp2xuO",1
3,"USGS reports a M1.72 #earthquake 22km SSW of Puebla, B.C., MX on 10/26/19 @ 0:33:12 UTC https://t.co/KkeUXgJa9v #quake",1
0,"USGS reports a M4.4 #earthquake 7km NW of Harsin, Iran on 10/28/19 @ 14:13:03 UTC https://t.co/jyAHg96FMw #quake",1
1,"Mb 4.4 earthquake (reviewed) occured at 2019-10-28T14:13:03 UTC, 7km NW of Harsin, Iran https://t.co/nMUPcMag8V",1
