tweet_text,Time,origin_long,origin_lat,latitude,longitude
"Ml 3.1 earthquake (automatic) occured at 2019-10-31T18:30:57 UTC, 93km SSE of Shishmaref, Alaska https://t.co/HqPP23Ewv9",2019-10-31T18:30:57.638Z,-165.6256,65.4374,65.4374,-165.6256
"3.1 magnitude #earthquake. 94km SSE of Shishmaref, Alaska https://t.co/PwW6wiVXpu",2019-10-31T18:30:57.638Z,-165.6256,65.4374,65.433,-165.602
"Alaska, United States of America
ML 3.1 (6 min ago)
22km 65.43°N 165.60°W
Oct 31, 2019 18:30:57 UTC
#earthquake https://t.co/ormBY0ggmC",2019-10-31T18:30:57.638Z,-165.6256,65.4374,65.43,-165.6
"USGS reports a M3.1 #earthquake 94km SSE of Shishmaref, Alaska on 10/31/19 @ 18:30:57 UTC https://t.co/HZk7DMh4LZ #quake",2019-10-31T18:30:57.638Z,-165.6256,65.4374,65.4327,-165.602
"Ml 3.1 earthquake (automatic) occured at 2019-10-31T18:30:57 UTC, 94km SSE of Shishmaref, Alaska https://t.co/HqPP23Ewv9",2019-10-31T18:30:57.638Z,-165.6256,65.4374,65.4327,-165.602
"USGS reports a M2.62 #earthquake 7km WSW of Round Valley, CA on 10/31/19 @ 17:59:31 UTC https://t.co/crFYWzcve5 #quake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.395668,-118.6766663
"California, United States of America
MD 2.6 (4 min ago)
12km 37.40°N 118.68°W
Oct 31, 2019 17:59:31 UTC
#earthquake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.4,-118.68
"Md 2.62 earthquake (automatic) occured at 2019-10-31T17:59:31 UTC, 7km WSW of Round Valley, CA https://t.co/N5auUcu2A4",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.395668,-118.6766663
"1.9 magnitude #earthquake. 20 km from West Bishop, CA, #UnitedStates https://t.co/yS4pnKhuBS",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.396,-118.676
"USGS reports a M1.92 #earthquake 7km WSW of Round Valley, CA on 10/28/19 @ 21:22:24 UTC https://t.co/CgeK6fRNoc #quake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.3959999,-118.6760025
"Magnitude 1.5 #earthquake, 31.0 km W of Bishop, CA https://t.co/GMAhmAwwcP",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.399,-118.7405
"1.5 magnitude #earthquake. 21 km from #WestBishop, CA, United States https://t.co/VGQtV0xNq4",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.42,-118.675
"USGS reports a M1.53 #earthquake 7km W of Round Valley, CA on 10/25/19 @ 1:40:13 UTC https://t.co/ZVjsPXdbwa #quake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.4194984,-118.6751633
"USGS reports a M1.16 #earthquake 7km WSW of Round Valley, CA on 10/24/19 @ 23:58:02 UTC https://t.co/49GbNflGvF #quake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.4,-118.6791667
"California, United States of America
MD 2.1 (4 min ago)
12km 37.40°N 118.68°W
Oct 24, 2019 22:46:58 UTC
#earthquake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.4,-118.68
"2.1 magnitude #earthquake. 20 km from West Bishop, CA, #UnitedStates https://t.co/TIe4SUjwaX",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.396,-118.677
"USGS reports a M2.12 #earthquake 7km WSW of Round Valley, CA on 10/24/19 @ 22:46:58 UTC https://t.co/EACbVqs2kb #quake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.3955002,-118.677002
"1.6 magnitude #earthquake. 20 km from #WestBishop, CA, United States https://t.co/0K5DZM9v2D",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.389,-118.678
"USGS reports a M1.57 #earthquake 8km WSW of Round Valley, CA on 10/24/19 @ 15:45:27 UTC https://t.co/riFoAePzfY #quake",2019-10-31T17:59:31.960Z,-118.6766663,37.395668,37.3885002,-118.6784973
"Ml 2.5 earthquake (automatic) occured at 2019-10-31T17:52:33 UTC, 14km S of Honaunau-Napoopoo, Hawaii https://t.co/3qunnZnrJu",2019-10-31T17:52:33.440Z,-155.8834991,19.3285007,19.3285007,-155.8834991
"USGS reports: M2,1 Earthquake 14km S of Honaunau-Napoopoo, Hawaii,
Depth 1,6 Km @ 2019-10-31 06:52:33 HST.
More inf… https://t.co/WE5WQ6Fdql",2019-10-31T17:52:33.440Z,-155.8834991,19.3285007,19.3285007,-155.8834991
"USGS reports a M2.11 #earthquake 14km S of Honaunau-Napoopoo, Hawaii on 10/31/19 @ 17:52:33 UTC https://t.co/n1gXoWyASr #quake",2019-10-31T17:52:33.440Z,-155.8834991,19.3285007,19.3285007,-155.8834991
"Hawaii, United States of America
MD 2.1 (4 min ago)
2km 19.33°N 155.88°W
Oct 31, 2019 17:52:33 UTC
#earthquake",2019-10-31T17:52:33.440Z,-155.8834991,19.3285007,19.33,-155.88
M6.6 #earthquake (#lindol) strikes 100 km SE of #Budta (#Philippines) 20 min ago. Updated map of its effects: https://t.co/sfXH0iHhAA,2019-10-31T17:35:30.115Z,125.1111,6.7613,6.79,125.24
"Map of felt reports received so far following the #earthquake M6.6 in Mindanao, Philippines 42 min ago https://t.co/Qi22mSuUci",2019-10-31T17:35:30.115Z,125.1111,6.7613,6.83,125.12
Estimated population in the felt area: 1.1 millions inhabitants https://t.co/N9Kjc8fJ5O,2019-10-31T17:35:30.115Z,125.1111,6.7613,6.8,125.26
"Map of felt reports received so far following the #earthquake M4.9 in Mindanao, Philippines 44 min ago https://t.co/cCdVNfFtn9",2019-10-31T17:35:30.115Z,125.1111,6.7613,6.8,125.26
"USGS reports a M4.9 #earthquake 8km W of Magsaysay, Philippines on 10/31/19 @ 17:35:30 UTC https://t.co/d7Y453rP3l #quake",2019-10-31T17:35:30.115Z,125.1111,6.7613,6.7613,125.1111
"【M4.9】MINDANAO, PHILIPPINES 14.1km 2019/11/01 02:35:30JST, 2019/10/31 17:35:30UTC
(G)https://t.co/szpzdPaoOr (USGS)https://t.co/OboZFO3RTu",2019-10-31T17:35:30.115Z,125.1111,6.7613,6.7613,125.1111
"Mb 4.9 earthquake (reviewed) occured at 2019-10-31T17:35:30 UTC, 8km W of Magsaysay, Philippines https://t.co/2g98oG5vNq",2019-10-31T17:35:30.115Z,125.1111,6.7613,6.7613,125.1111
Mag: 5 - Depth: 35 km - UTC 16:38 - South Of The Fiji Islands - USGS Info: https://t.co/x5NN0OR22a,2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.392
5.0 magnitude #earthquake. South of the Fiji Islands https://t.co/WaWmAB6L4N,2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.27,-176.392
"【mb5.0】SOUTH OF FIJI ISLANDS Depth 35km Oct 31, 2019 16:38:38 UTC (G)https://t.co/vMgyrOkGZD (EMSC)https://t.co/DppqTecG1F",2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.27,-176.39
"Mb 5 earthquake (reviewed) occured at 2019-10-31T16:38:38 UTC, South of the Fiji Islands https://t.co/kzGxjS0iNm",2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.3919
USGS reports a M5 #earthquake South of the Fiji Islands on 10/31/19 @ 16:38:38 UTC https://t.co/PTpNERBBaQ #quake,2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.3919
A 5.0 magnitude earthquake occurred in South of the Fiji Islands. Details: https://t.co/tRhD2OALnU Map: https://t.co/WXeGlGg2v2,2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.3919
"【M5.0】AL SUR DE LAS ISLAS FIJI 35.0km 31/10/2019 16:38:38 UTC #Sismo #Terremoto
(G)https://t.co/mnJQ3pQUJX (USGS)https://t.co/hxma9Tk37z",2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.3919
"M5.0 SOUTH OF THE FIJI ISLANDS Depth 35.0km Oct 31, 2019 16:38:38 UTC, Nov 01, 2019 04:38:38 at epicenter https://t.co/wbHRKPnrFM",2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.3919
"【M5.0】SOUTH OF THE FIJI ISLANDS 35.0km 2019/11/01 01:38:38 JST[UTC+9]
(G)https://t.co/hpKM9r6Lyn (USGS)https://t.co/LDa6L6SIJU",2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.3919
"5.0 earthquake, South of the Fiji Islands. 2019-10-31 04:38:38 at epicenter (22m ago, depth 35km). https://t.co/hUf40MJ065",2019-10-31T16:38:38.063Z,-176.3919,-24.2696,-24.2696,-176.3919
"MD 2.9 (162 min ago)
10km 19.07°N 67.22°W
Oct 31, 2019 16:29:12 UTC
#earthquake",2019-10-31T16:29:12.110Z,-67.2236,19.0736,19.07,-67.22
"MD 2.8 (307 min ago)
52km 19.11°N 67.10°W
Oct 31, 2019 11:38:21 UTC
#earthquake",2019-10-31T16:29:12.110Z,-67.2236,19.0736,19.11,-67.1
"MD 3.0 (91 min ago)
10km 19.03°N 67.31°W
Oct 30, 2019 16:43:33 UTC
#earthquake",2019-10-31T16:29:12.110Z,-67.2236,19.0736,19.03,-67.31
