tweet_id,tweet_text,label
'383600460340666369',rt @faiz_baluch: balochistanearthquake pakistan army is terrorizing the people by aerial firing in awaran https://tco/r3r5ph8zss http://,other_useful_information
'383790723222364161',earthquake 2013-09-28 02:39:43 (m50) east of the south sandwich islands -595 -191 (70fa9) http://tco/ubn98ffmnj notice,other_useful_information
'384232048124518400',earthquake m22: puerto rico region http://tco/f2obuzaf7x,other_useful_information
'384860484643475456',pakistan: nasa releases images of pakistans earthquake island | http://tco/wbkdqft7fu | c science | rt |``,other_useful_information
'383407962619772928',usgs alert m 15 central alaska: september 27 2013 01:43:53 gmt http://tco/lxne9dghfx earthquake tsunami prayfromjapan,other_useful_information
'384275270082887680',rt @aqpk: rt @313syisitak: yfk volunteers share their views on kashmir with farah in her live morning show on atv http://tco/allpkcledy,donation_needs_or_offers_or_volunteering_services
'382846453221036032',@hamidmirgeo: it is ridiculous rubbish now youre doing the same using earthquake for ur own filthy purposes pardon me fr my language,not_related_or_irrelevant
'384223701144576001',@mosharrafzaidi pakistan peshawar a message for terrorists &amp; their supporters/sympathizers http://tco/dakrfwgg6e,not_related_or_irrelevant
'383596911598768128',rt @cnbcpakistan: minister of state sheikh aftab: 9 soldiers and 4 civilians killed due to firing by indian forces at loc pakistan,injured_or_dead_people
'384041956038303744',rt @kkfpk: pic-9 kkf send relief goods for balochistan earthquake victims reliefbykkf mqm pakistan http://tco/0lvb1lsy95,donation_needs_or_offers_or_volunteering_services
'384607507382935552',rt @anasmallick: day 7th and some parts of balochistan hit by earthquake are yet to receive relief aid pakistan,donation_needs_or_offers_or_volunteering_services
'383904420523544576',rt @emirates247: breaking news: powerful 68 earthquake rocks pakistan again; tremors in uae http://tco/x08hupmdzc,other_useful_information
'383984866217295872',what does attack on earthquake relief means terrorist org dnt want to let anyone do good to balochistan,other_useful_information
'383877756872032257',karachi: magnitude 72 earthquake jolts different parts of sindh balochistanawaran pakistan,other_useful_information
'383487691297284098',field mecical camps and lady doctors are also reaching earthquake affected areas in balochistan fed minster gen rt abdul qadir pmln,donation_needs_or_offers_or_volunteering_services
'383215415931195392',rt @baloch_istan: interior minister chaudhry nisar to visit earthquake hit areas of balochistan tomorrow (rt @khalidkhan787),other_useful_information
'384745974133817344',earthquake births new island off pakistan : natural hazards http://tco/80igihnxpq nasa,other_useful_information
'384241412361170944',very sad news : 2 consecutive blasts in qisa khawani bazar in peshawar pakistan currently reported dead 33 http://tco/i3c8qwmg4o,injured_or_dead_people
'382842369953234944',death toll in pakistan earthquake rises to 210 - http://tco/mwhdfglbte via @newscanada-plus rt,injured_or_dead_people
'384064514057986048',usgs alert m 18 nevada: september 28 2013 21:06:29 gmt http://tco/2ps35c43vx earthquake tsunami prayfromjapan,other_useful_information
'383178520358559744',rt @realsyedasarwat: may allah give them strength whos family/relatives dead in earthquake my prayers r with them,sympathy_and_emotional_support
'382851000031121408',earthquake risk model coming for canada no flood model yet http://tco/7nuquvlq60 via @cdnunderwriter,other_useful_information
