,created,text,location,hashtags,location#,
0,10/28/19 17:11,"Ml 2.54 earthquake (reviewed) occured at 2019-10-28T16:48:02 UTC, 2km ESE of Quinton, Oklahoma https://t.co/GXO4AoQaC5","{'type': 'Point', 'coordinates': [35.13, -95.3475]}",[],0,1
1,10/28/19 17:02,"Ml 2.54 earthquake (reviewed) occured at 2019-10-28T16:48:02 UTC, 2km SE of Quinton, Oklahoma https://t.co/GXO4AoQaC5","{'type': 'Point', 'coordinates': [35.13, -95.3475]}",[],0,1
2,10/28/19 16:59,"Ml 2.83 earthquake (automatic) occured at 2019-10-28T16:48:03 UTC, 2km SE of Quinton, Oklahoma https://t.co/GXO4AoQaC5","{'type': 'Point', 'coordinates': [35.12008667, -95.31899261]}",[],0,1
3,10/28/19 16:55,"2.8 magnitude #earthquake. 5 km from Quinton, OK, #UnitedStates https://t.co/bM7b9MHgHK","{'type': 'Point', 'coordinates': [35.12, -95.319]}","[Hashtag(Text='earthquake'), Hashtag(Text='UnitedStates')]",0,1
4,10/28/19 16:55,"Ml 2.83 earthquake (automatic) occured at 2019-10-28T16:48:03 UTC, 4km E of Quinton, Oklahoma https://t.co/GXO4AoQaC5","{'type': 'Point', 'coordinates': [35.12008667, -95.31899261]}",[],0,1
5,10/28/19 16:51,"USGS reports a M2.61 #earthquake 5km E of Quinton, Oklahoma on 10/28/19 @ 16:48:02 UTC https://t.co/f5IWMPvwwh #quake","{'type': 'Point', 'coordinates': [35.11969757, -95.30847168]}","[Hashtag(Text='earthquake'), Hashtag(Text='quake')]",0,1
6,10/28/19 16:50,"Ml 2.61 earthquake (automatic) occured at 2019-10-28T16:48:02 UTC, 5km E of Quinton, Oklahoma https://t.co/GXO4AoQaC5","{'type': 'Point', 'coordinates': [35.11969757, -95.30847168]}",[],0,1
7,10/28/19 13:44,"Ml 2.74 earthquake (reviewed) occured at 2019-10-28T13:23:44 UTC, 3km NW of Quinton, Oklahoma https://t.co/XpZY4ud1jV","{'type': 'Point', 'coordinates': [35.13216667, -95.35933333]}",[],0,1
8,10/28/19 13:41,"Ml 2.86 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 3km NW of Quinton, Oklahoma https://t.co/XpZY4ud1jV","{'type': 'Point', 'coordinates': [35.1074028, -95.33081818]}",[],0,1
9,10/28/19 13:31,"Ml 2.86 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 4km ESE of Quinton, Oklahoma https://t.co/XpZY4ud1jV","{'type': 'Point', 'coordinates': [35.1074028, -95.33081818]}",[],0,1
10,10/28/19 13:30,"2.7 magnitude #earthquake. 5 km from #Quinton, OK, #UnitedStates https://t.co/xpBxsbAMn5","{'type': 'Point', 'coordinates': [35.108, -95.321]}","[Hashtag(Text='earthquake'), Hashtag(Text='Quinton'), Hashtag(Text='UnitedStates')]",0,1
